Events,Temp_Avg_Celsius,Precipitations_cm,date,count
"",22.22222222222222,0.0,2014-11-30,496
"",31.111111111111114,0.0,2015-07-30,300
"",17.22222222222222,0.0,2014-02-22,369
"",21.666666666666668,0.0,2016-11-04,630
"",17.77777777777778,0.0,2017-04-23,874
"",30.0,0.0,2015-08-30,498
"",22.77777777777778,0.0,2014-10-20,453
"",28.88888888888889,0.0,2014-07-20,566
"",30.0,0.0,2015-07-13,329
Rain,16.666666666666668,0.10160000000000001,2014-12-11,163
Rain,30.555555555555557,0.050800000000000005,2014-09-05,391
Rain,24.444444444444446,"",2017-03-06,534
"",25.0,0.0,2015-04-23,485
"",17.77777777777778,0.0,2016-03-02,362
"",25.555555555555557,0.0,2015-10-14,437
"",31.111111111111114,0.0,2016-08-04,538
"",20.555555555555557,0.0,2017-02-22,332
"",8.88888888888889,0.0,2013-12-26,100
"Fog , Rain , Thunderstorm",23.88888888888889,9.7536,2015-05-05,323
"",28.88888888888889,0.0,2015-09-22,334
"",23.88888888888889,0.0,2017-03-26,854
"",18.88888888888889,0.0,2014-10-14,601
"",23.333333333333336,0.0,2014-10-19,649
"",31.666666666666668,0.0,2014-08-08,332
"",25.555555555555557,0.0,2016-06-05,921
"",20.0,0.0,2014-04-20,805
"",23.88888888888889,0.0,2017-05-07,892
